;family;BF1;BF2;BF3;BF4
1;Aeolosomatidae;0;0;3;0
3;aff. Drosophilidae;0;0;0;2
4;Anisopodidae;0;0;3;0
5;Aulacigastridae;0;0;0;2
6;Axymyiidae;0;0;2;0
7;Bibionidae;0;0;2;0
8;Calamoceratidae;0;0;2;0
9;Canacidae;NA;NA;NA;NA
10;Candonidae;0;0;0;3
11;Canthocamptidae;0;0;0;3
12;Carabidae;0;0;2;0
14;Cecidomyiidae;0;0;0;2
15;Ceratopogonidae;0;0;2;0
16;Chironomidae;0;0;3;0
17;Chydoridae;0;0;0;3
18;Coenagrionidae;2;0;0;0
19;Corethrellidae;0;0;2;0
20;Culicidae;0;0;2;0
21;Curculionidae;0;0;0;3
22;Cyclopidae;0;0;0;2
24;Cyprididae;0;0;0;3
25;Daphnidae;0;0;0;3
26;Daphniidae;0;0;0;3
27;Dixidae;0;0;2;0
28;Dolichopodidae;0;0;3;0
29;Dolychopodidae;0;0;3;0
30;Dytiscidae;0;0;3;0
31;Elateridae;0;0;2;0
32;Elmidae;0;0;3;0
33;Empididae;0;0;3;0
34;Enchytraeoidae;0;0;3;0
35;Enicocephalidae;0;0;2;0
36;Entomobryidae;0;0;0;2
37;Ephydridae;0;0;2;0
38;Gerridae;NA;NA;NA;NA
39;Glossiphoniidae;3;0;0;0
40;Hydrophilidae;NA;NA;NA;NA
41;Lampyridae;NA;NA;NA;NA
42;Limnocytheridae;0;0;0;3
43;Limoniidae;0;0;3;0
44;Lumbricidae;0;0;2;0
45;Mesoveliidae;0;0;0;2
46;Muscidae;0;0;2;0
48;Naididae;0;0;3;0
49;Periscelididae;0;0;2;0
50;Phoridae;NA;NA;NA;NA
51;Planorbidae;NA;NA;NA;NA
52;Pseudostigmatidae;0;0;2;0
53;Psychodidae;0;0;2;0
54;Ptilodactylidae;0;0;3;0
55;Sarchophagidae;0;0;2;0
56;Scatopsidae;NA;NA;NA;NA
57;Sciaridae;0;0;2;0
58;Scirtidae;0;2;0;0
59;Scutelleridae;0;0;0;2
60;Sphaeroceridae;NA;NA;NA;NA
61;Stratiomyidae;0;0;2;0
62;Syrphidae;0;0;1;2
63;Tabanidae;0;0;2;0
64;Thaumaleidae;0;0;3;0
65;Tineidae;0;0;2;0
66;Tipulidae;0;0;3;0
67;Veliidae;0;0;0;2
68;Vellidae;0;0;0;2
